2018-06-24 18:47:08,400 - train.py: 91 - log - loc_loss: 0.056 | cls_loss: 0.647 | train_loss: 0.704 | avg_loss: 0.826

2018-06-24 18:47:11,635 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.613 | train_loss: 0.678 | avg_loss: 0.826

2018-06-24 18:47:14,772 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.620 | train_loss: 0.681 | avg_loss: 0.826

2018-06-24 18:47:17,844 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.632 | train_loss: 0.693 | avg_loss: 0.826

2018-06-24 18:47:20,887 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.683 | train_loss: 0.750 | avg_loss: 0.826

2018-06-24 18:47:23,556 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.669 | train_loss: 0.734 | avg_loss: 0.826

2018-06-24 18:47:26,575 - train.py: 91 - log - loc_loss: 0.060 | cls_loss: 0.661 | train_loss: 0.721 | avg_loss: 0.826

2018-06-24 18:47:29,334 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.650 | train_loss: 0.716 | avg_loss: 0.826

2018-06-24 18:47:32,099 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.646 | train_loss: 0.711 | avg_loss: 0.826

2018-06-24 18:47:35,277 - train.py: 91 - log - loc_loss: 0.055 | cls_loss: 0.549 | train_loss: 0.604 | avg_loss: 0.826

2018-06-24 18:47:38,356 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.639 | train_loss: 0.704 | avg_loss: 0.826

2018-06-24 18:47:41,539 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.595 | train_loss: 0.658 | avg_loss: 0.826

2018-06-24 18:47:44,533 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.619 | train_loss: 0.677 | avg_loss: 0.826

2018-06-24 18:47:47,238 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.589 | train_loss: 0.655 | avg_loss: 0.826

2018-06-24 18:47:49,905 - train.py: 91 - log - loc_loss: 0.069 | cls_loss: 0.614 | train_loss: 0.683 | avg_loss: 0.825

2018-06-24 18:47:53,053 - train.py: 91 - log - loc_loss: 0.056 | cls_loss: 0.538 | train_loss: 0.595 | avg_loss: 0.825

2018-06-24 18:47:55,817 - train.py: 91 - log - loc_loss: 0.057 | cls_loss: 0.513 | train_loss: 0.571 | avg_loss: 0.825

2018-06-24 18:47:58,628 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.571 | train_loss: 0.635 | avg_loss: 0.825

2018-06-24 18:48:01,689 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.689 | train_loss: 0.751 | avg_loss: 0.825

2018-06-24 18:48:04,470 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.631 | train_loss: 0.693 | avg_loss: 0.825

2018-06-24 18:48:07,268 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.565 | train_loss: 0.626 | avg_loss: 0.825

2018-06-24 18:48:09,948 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.598 | train_loss: 0.661 | avg_loss: 0.825

2018-06-24 18:48:12,809 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.617 | train_loss: 0.680 | avg_loss: 0.825

2018-06-24 18:48:15,965 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.640 | train_loss: 0.706 | avg_loss: 0.825

2018-06-24 18:48:18,940 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.614 | train_loss: 0.677 | avg_loss: 0.825

2018-06-24 18:48:21,986 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.651 | train_loss: 0.717 | avg_loss: 0.825

2018-06-24 18:48:24,657 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.656 | train_loss: 0.721 | avg_loss: 0.825

2018-06-24 18:48:27,705 - train.py: 91 - log - loc_loss: 0.056 | cls_loss: 0.651 | train_loss: 0.707 | avg_loss: 0.825

2018-06-24 18:48:30,781 - train.py: 91 - log - loc_loss: 0.068 | cls_loss: 0.598 | train_loss: 0.665 | avg_loss: 0.825

2018-06-24 18:48:33,654 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.615 | train_loss: 0.677 | avg_loss: 0.825

2018-06-24 18:48:36,349 - train.py: 91 - log - loc_loss: 0.059 | cls_loss: 0.588 | train_loss: 0.647 | avg_loss: 0.825

2018-06-24 18:48:39,183 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.579 | train_loss: 0.641 | avg_loss: 0.825

2018-06-24 18:48:41,977 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.636 | train_loss: 0.701 | avg_loss: 0.825

2018-06-24 18:48:44,755 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.657 | train_loss: 0.722 | avg_loss: 0.825

2018-06-24 18:48:48,000 - train.py: 91 - log - loc_loss: 0.059 | cls_loss: 0.602 | train_loss: 0.661 | avg_loss: 0.825

2018-06-24 18:48:50,639 - train.py: 91 - log - loc_loss: 0.071 | cls_loss: 0.650 | train_loss: 0.721 | avg_loss: 0.825

2018-06-24 18:48:53,882 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.757 | train_loss: 0.821 | avg_loss: 0.825

2018-06-24 18:48:56,953 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.576 | train_loss: 0.634 | avg_loss: 0.825

2018-06-24 18:48:59,884 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.636 | train_loss: 0.703 | avg_loss: 0.825

2018-06-24 18:49:02,609 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.607 | train_loss: 0.665 | avg_loss: 0.825

2018-06-24 18:49:05,672 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.688 | train_loss: 0.752 | avg_loss: 0.825

2018-06-24 18:49:08,553 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.608 | train_loss: 0.667 | avg_loss: 0.825

2018-06-24 18:49:11,789 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.588 | train_loss: 0.649 | avg_loss: 0.825

2018-06-24 18:49:14,496 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.609 | train_loss: 0.674 | avg_loss: 0.825

2018-06-24 18:49:17,285 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.639 | train_loss: 0.700 | avg_loss: 0.825

2018-06-24 18:49:20,362 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.621 | train_loss: 0.685 | avg_loss: 0.825

2018-06-24 18:49:23,126 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.581 | train_loss: 0.640 | avg_loss: 0.825

2018-06-24 18:49:25,903 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.587 | train_loss: 0.650 | avg_loss: 0.825

2018-06-24 18:49:28,584 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.587 | train_loss: 0.649 | avg_loss: 0.825

2018-06-24 18:49:31,660 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.682 | train_loss: 0.745 | avg_loss: 0.825

2018-06-24 18:49:34,907 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.643 | train_loss: 0.704 | avg_loss: 0.825

2018-06-24 18:49:37,593 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.647 | train_loss: 0.705 | avg_loss: 0.825

2018-06-24 18:49:40,317 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.694 | train_loss: 0.755 | avg_loss: 0.825

2018-06-24 18:49:43,061 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.647 | train_loss: 0.712 | avg_loss: 0.825

2018-06-24 18:49:46,115 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.656 | train_loss: 0.722 | avg_loss: 0.825

2018-06-24 18:49:48,858 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.581 | train_loss: 0.644 | avg_loss: 0.825

2018-06-24 18:49:51,665 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.570 | train_loss: 0.635 | avg_loss: 0.825

2018-06-24 18:49:54,428 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.634 | train_loss: 0.698 | avg_loss: 0.825

2018-06-24 18:49:57,477 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.622 | train_loss: 0.685 | avg_loss: 0.825

2018-06-24 18:50:00,190 - train.py: 91 - log - loc_loss: 0.072 | cls_loss: 0.726 | train_loss: 0.798 | avg_loss: 0.825

2018-06-24 18:50:02,958 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.645 | train_loss: 0.703 | avg_loss: 0.825

2018-06-24 18:50:06,023 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.665 | train_loss: 0.731 | avg_loss: 0.825

2018-06-24 18:50:09,076 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.599 | train_loss: 0.665 | avg_loss: 0.825

2018-06-24 18:50:11,859 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.614 | train_loss: 0.677 | avg_loss: 0.825

2018-06-24 18:50:14,545 - train.py: 91 - log - loc_loss: 0.060 | cls_loss: 0.614 | train_loss: 0.675 | avg_loss: 0.825

2018-06-24 18:50:17,592 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.617 | train_loss: 0.679 | avg_loss: 0.825

2018-06-24 18:50:20,305 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.677 | train_loss: 0.741 | avg_loss: 0.825

2018-06-24 18:50:23,423 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.589 | train_loss: 0.653 | avg_loss: 0.825

2018-06-24 18:50:26,014 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.678 | train_loss: 0.745 | avg_loss: 0.825

2018-06-24 18:50:28,695 - train.py: 91 - log - loc_loss: 0.069 | cls_loss: 0.703 | train_loss: 0.772 | avg_loss: 0.825

2018-06-24 18:50:31,794 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.619 | train_loss: 0.683 | avg_loss: 0.825

2018-06-24 18:50:34,522 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.610 | train_loss: 0.673 | avg_loss: 0.825

2018-06-24 18:50:37,264 - train.py: 91 - log - loc_loss: 0.072 | cls_loss: 0.614 | train_loss: 0.686 | avg_loss: 0.825

2018-06-24 18:50:40,017 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.611 | train_loss: 0.676 | avg_loss: 0.825

2018-06-24 18:50:43,127 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.623 | train_loss: 0.686 | avg_loss: 0.825

2018-06-24 18:50:46,268 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.642 | train_loss: 0.707 | avg_loss: 0.825

2018-06-24 18:50:49,116 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.622 | train_loss: 0.689 | avg_loss: 0.825

2018-06-24 18:50:51,996 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.615 | train_loss: 0.675 | avg_loss: 0.825

2018-06-24 18:50:54,831 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.628 | train_loss: 0.690 | avg_loss: 0.824

2018-06-24 18:50:57,477 - train.py: 91 - log - loc_loss: 0.058 | cls_loss: 0.676 | train_loss: 0.733 | avg_loss: 0.824

2018-06-24 18:51:00,329 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.709 | train_loss: 0.776 | avg_loss: 0.824

2018-06-24 18:51:03,602 - train.py: 91 - log - loc_loss: 0.059 | cls_loss: 0.656 | train_loss: 0.715 | avg_loss: 0.824

2018-06-24 18:51:06,369 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.618 | train_loss: 0.682 | avg_loss: 0.824

2018-06-24 18:51:09,200 - train.py: 91 - log - loc_loss: 0.067 | cls_loss: 0.649 | train_loss: 0.716 | avg_loss: 0.824

2018-06-24 18:51:12,426 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.604 | train_loss: 0.668 | avg_loss: 0.824

2018-06-24 18:51:15,182 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.642 | train_loss: 0.704 | avg_loss: 0.824

2018-06-24 18:51:18,200 - train.py: 91 - log - loc_loss: 0.072 | cls_loss: 0.672 | train_loss: 0.745 | avg_loss: 0.824

2018-06-24 18:51:21,475 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.698 | train_loss: 0.763 | avg_loss: 0.824

2018-06-24 18:51:24,552 - train.py: 91 - log - loc_loss: 0.069 | cls_loss: 0.650 | train_loss: 0.719 | avg_loss: 0.824

2018-06-24 18:51:27,201 - train.py: 91 - log - loc_loss: 0.069 | cls_loss: 0.676 | train_loss: 0.746 | avg_loss: 0.824

2018-06-24 18:51:30,409 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.602 | train_loss: 0.663 | avg_loss: 0.824

2018-06-24 18:51:33,082 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.635 | train_loss: 0.696 | avg_loss: 0.824

2018-06-24 18:51:35,873 - train.py: 91 - log - loc_loss: 0.059 | cls_loss: 0.649 | train_loss: 0.708 | avg_loss: 0.824

2018-06-24 18:51:38,702 - train.py: 91 - log - loc_loss: 0.065 | cls_loss: 0.642 | train_loss: 0.708 | avg_loss: 0.824

2018-06-24 18:51:41,747 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.612 | train_loss: 0.678 | avg_loss: 0.824

2018-06-24 18:51:44,785 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.564 | train_loss: 0.628 | avg_loss: 0.824

2018-06-24 18:51:47,605 - train.py: 91 - log - loc_loss: 0.057 | cls_loss: 0.616 | train_loss: 0.673 | avg_loss: 0.824

2018-06-24 18:51:50,263 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.594 | train_loss: 0.656 | avg_loss: 0.824

2018-06-24 18:51:53,201 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.660 | train_loss: 0.724 | avg_loss: 0.824

2018-06-24 18:51:55,987 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.699 | train_loss: 0.764 | avg_loss: 0.824

2018-06-24 18:51:59,068 - train.py: 91 - log - loc_loss: 0.061 | cls_loss: 0.590 | train_loss: 0.651 | avg_loss: 0.824

2018-06-24 18:52:01,680 - train.py: 91 - log - loc_loss: 0.062 | cls_loss: 0.607 | train_loss: 0.669 | avg_loss: 0.824

2018-06-24 18:52:04,854 - train.py: 91 - log - loc_loss: 0.063 | cls_loss: 0.628 | train_loss: 0.691 | avg_loss: 0.824

2018-06-24 18:52:07,975 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.605 | train_loss: 0.671 | avg_loss: 0.824

2018-06-24 18:52:11,006 - train.py: 91 - log - loc_loss: 0.060 | cls_loss: 0.594 | train_loss: 0.655 | avg_loss: 0.824

2018-06-24 18:52:14,077 - train.py: 91 - log - loc_loss: 0.070 | cls_loss: 0.653 | train_loss: 0.724 | avg_loss: 0.824

2018-06-24 18:52:17,156 - train.py: 91 - log - loc_loss: 0.066 | cls_loss: 0.668 | train_loss: 0.734 | avg_loss: 0.824

2018-06-24 18:52:19,832 - train.py: 91 - log - loc_loss: 0.064 | cls_loss: 0.619 | train_loss: 0.683 | avg_loss: 0.824

